"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Class","LCSC"
"AE1","1","Antenna_Shield","","","","","~","",""
"C1,C2,C3,C4,C5,C6,C7,C11,C12,C13,C18,C19,C20,C21,C22","15","10uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf","Basic Component","C15525"
"C8,C9,C10","3","47uF","","","","PCM_JLCPCB:C_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A476MQYNNNE_C16780.pdf","Basic Component","C16780"
"C14,C15","2","27pF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG270J500NT_C1557.pdf","Preferred Component","C1557"
"C16,C17","2","1.5pF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG1R5C500NT_C1552.pdf","Preferred Component","C1552"
"D1,D7,D9","3","Red","","","","PCM_JLCPCB:D_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2409272203_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","Basic Component","C84256"
"D2,D4","2","MM1W5V6","","","","PCM_JLCPCB:D_SOD-123","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2405210914_hongjiacheng-MM1W5V6_C22435086.pdf","Preferred Component","C22435086"
"D3","1","MMSZ5227B","","","","PCM_JLCPCB:D_SOD-123","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2405091603_hongjiacheng-MMSZ5227B_C22395553.pdf","Preferred Component","C22395553"
"D5,D8,D10","3","Green","","","","PCM_JLCPCB:D_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_1806151820_Hubei-KENTO-Elec-KT-0805G_C2297.pdf","Basic Component","C2297"
"D6","1","H3V3U10B","","","","PCM_JLCPCB:D_DFN1006-2L","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401261524_hongjiacheng-H3V3U10B_C20615782.pdf","Preferred Component","C20615782"
"F1","1","Polyfuse, 2A","","","","Fuse:Fuse_1206_3216Metric","~","","C6165195"
"J1","1","Connector, USB-TYPE-C-16P","","","","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","https://atta.szlcsc.com/upload/public/pdf/source/20220920/0EF8F885FCCEA71F60E9E85152155021.pdf","","C2927039"
"J2","1","Test Connector","","Excluded from BOM","","","","",""
"J3","1","Display","","Excluded from BOM","","","","",""
"L1","1","15nH,300mA","","","","PCM_JLCPCB:L_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDCL1005C15NJTDF_C27143.pdf","Preferred Component","C27143"
"L2","1","2.7nH","","","","PCM_JLCPCB:L_0402","~","","C77108"
"Q1","1","MMBT3904","","","","PCM_JLCPCB:Q_SOT-23","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312221203_hongjiacheng-MMBT3904_C7420353.pdf","Preferred Component","C7420353"
"Q2","1","HL3415A","","","","PCM_JLCPCB:Q_SOT-23","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2407121622_hongjiacheng-HL3415A_C28646270.pdf","Preferred Component","C28646270"
"R1,R2,R10","3","5.1kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF5101TCE_C25905.pdf","Basic Component","C25905"
"R3,R5,R9,R12,R14,R16,R17,R18,R19","9","10kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","Basic Component","C25744"
"R4,R8","2","510kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0402WGF5103TCE_C11616.pdf","Preferred Component","C11616"
"R6,R7,R13,R15","4","100kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF1003TCE_C25741.pdf","Basic Component","C25741"
"R11","1","510Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF5100TCE_C25123.pdf","Basic Component","C25123"
"S1,S2,S3,S4","4","Tactile Button, 160gf","","","","PCM_JLCPCB:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XKB-Connection-TS-1187A-B-A-B_C318884.pdf","Basic Component","C318884"
"U1","1","ESP32-C3FH4","","","","PCM_JLCPCB:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","","C2858491"
"U2","1","RT9080","","","","Package_TO_SOT_SMD:TSOT-23-5","",""," C841192 "
"U3","1","SN74LV1T34DBV","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/sn74lv1t34.pdf","","C100024"
"X1","1","40MHz, 15pF","","","","PCM_JLCPCB:OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI","https://www.lcsc.com/datasheet/lcsc_datasheet_2403291504_YXC-Crystal-Oscillators-X322540MPB4SI_C9010.pdf","","C9010"
